id,sn,sn_2,date,title,link
64,足纪字[2019]12号,,,关于对深圳市足球俱乐部佳兆业队球员葛振违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190403/26676.html
65,足纪字[2019]11号,,,关于对武汉卓尔职业足球俱乐部队球员拉斐尔•席尔瓦违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190403/26674.html
66,足纪字[2019]10号,,,关于对青超联赛U19（B组）重庆赛区违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190403/26673.html
67,足纪字[2019]9号,,,关于对重庆当代力帆足球俱乐部、浙江毅腾足球俱乐部违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190403/26672.html
68,足纪字[2019]8号,,,关于对浙江毅腾U19队球员阿力马斯、艾则麦提江违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190403/26671.html
69,足纪字[2019]7号,,,关于对重庆斯威U19队球员满源、马德福、肖鑫鑫、李博文违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190403/26670.html
70,足纪字[2019]6号,,,关于对天津天海U19队官员田野违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190403/26669.html
71,足纪字[2019]5号,,,关于对青岛中能足球俱乐部未执行国际足联裁决的处罚决定,http://www.thecfa.cn/cftz/20190325/26587.html
72,足纪字[2019]4号,,,关于对新疆天山雪豹U19队球员阿克卓力•何孜尔汗违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190307/26449.html
73,足纪字[2019]3号,,,关于对上海绿地申花足球俱乐部队球员柏佳骏、孙世林违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190307/26448.html
74,足纪字[2019]2号,,,关于取消大连超越、上海申梵、深圳人人、海南博盈足球俱乐部注册资格的处罚决定,http://www.thecfa.cn/cftz/20190228/26417.html
75,,,,关于将《闽足纪字〔2019〕001号处罚决定》在全国执行的通知,http://www.thecfa.cn/cftz/20190228/26415.html
76,,,,关于对河南建业足球俱乐部队球员顾操违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181115/25622.html
