球队,受罚,对象,行为,违纪条款,停赛时间、场次,罚款金额,罚款、停赛标准,用时,备注
上海绿地申花队,俱乐部,,未指派首发队员参加赛前新闻发布会,66,通报批评,20000,17,2,特
武汉卓尔职业队,官员,他人,赛中冲入场内，辱骂他人,54 100,5,25000,17,7,
内蒙古盛乐蒙羊队,官员,裁判员,赛中冲入场内，指责裁判员,54 47 100,4,,违规违纪停赛细则,7,
天津泰达队,运动员,裁判员,辱骂 情节较为严重,54 47 100,7,,违规违纪停赛细则,7,
天津泰达队,运动员,运动员,推倒（无球状态下两次）,54 49,7,49000,17,2,
上海上港队,运动员,裁判员,辱骂,54 47,6,42000,17,5,
延边富德队,官员,器材,踢矿泉水瓶,55 49 100,3,15000,17,4,
延边富德队,运动员,运动员,蹬踹,54 100,4,,违规违纪停赛细则,9,
青岛黄海队,运动员,运动员,肘击,54 49,6,42000,17,7,
浙江绿城队,运动员,运动员,非体育道德行为,54,3,21000,17,7,
青岛黄海队,运动员,运动员,非体育道德行为,54,3,21000,17,7,
梅州市梅县区铁汉铁汉生态队,运动员,运动员,脚踢（无球状态下）,54 49,8,56000,17,4,
重庆当代力帆斯威队,官员,媒体,不负责评论,75,2,20000,17,4,
重庆当代力帆斯威U19队,运动员,裁判员,辱骂,54 47 100,6,,违规违纪停赛细则,5,
青岛黄海队,官员,裁判员,辱骂,28 54 49 47,8,56000,17,7,
青岛黄海队,俱乐部,裁判员,个别人员辱骂裁判员,54 49 47 57,通报批评,100000,17,7,
赛区,青岛黄海赛区,,赛后组织管理不利，安保人员提前撤离岗位,83,通报批评,20000,17,7,特
江苏苏宁苏宁易购U19队,运动员,运动员,踩踏,54 49 100,6月,,违规违纪停赛细则,6,
江苏苏宁苏宁易购U19队,俱乐部,运动员,多名球员引起赛场混乱,58,通报批评,100000,17,6,
贵州恒丰U19队,俱乐部,运动员,多名球员引起赛场混乱,58,通报批评,100000,17,6,
北京人和队,运动员,运动员,脚踢,54 49,5,35000,17,4,
贵州恒丰队,官员,裁判员,辱骂,54 47 49,7,49000,17,4,
广州富力队,官员,,非体育道德行为,54,3,21000,17,5,
上海上港足球俱乐部,运动员,,与缅甸国家队比赛中，佩戴首饰参赛,,12月 通报批评,,,16,特
辽宁沈阳宏运U19队,运动员,运动员,辱骂,54 100,4,,违规违纪停赛细则,49,
上海申鑫队,运动员,运动员,踩踏,54 49,6,42000,17,46,
沈阳东进队,俱乐部,,欠薪,77 104,取消注册资格,,,,特
安徽合肥桂冠队,俱乐部,,欠薪,77 104,取消注册资格,,,,特
浙江毅腾轻纺城队,运动员,运动员,蹬踏,54 49,4,28000,17,7,
浙江毅腾轻纺城队,运动员,运动员,故意踩踏,54,6,42000,17,7,
重庆当代力帆斯威队,俱乐部,,未按规定时间入场，导致下半场开球延误,66,通报批评,20000,17,4,
江苏苏宁苏宁易购队,运动员,裁判员,赛后握手礼过程中 辱骂,54 47,6,42000,17,6,
陕西省大秦之水智诚队,官员,裁判员,指责 辱骂,54 47 49,10,20000,17,15,
江苏苏宁苏宁易购队,俱乐部,,未指派首发队员参加赛前新闻发布会,66,通报批评,20000,17,13,特
内蒙古中优呼和浩特队,官员,裁判员,指责 辱骂,54 47 49,7,49000,17,13,
浙江绿城队,官员,器材,踢矿泉水瓶干扰比赛,55,2,14000,17,13,
河南建业队,运动员,运动员,脚踢（无球状态下）,54 49,7,49000,17,9,
新疆天山雪豹雪豹纳欢U19队,运动员,运动员,蹬踹,54 49 100,6,,违规违纪停赛细则,16,
上海申鑫U19队,运动员,运动员,赛后指责 击打,54 100,6,,违规违纪停赛细则,15,
上海申鑫U19队,运动员,运动员,击打,54 100,5,,违规违纪停赛细则,15,
长春亚泰U19队,运动员,运动员,赛后击打,54 100,5,,违规违纪停赛细则,15,
长春亚泰U19队,运动员,运动员,赛后辱骂,54 100,4,,违规违纪停赛细则,15,
大连一方足球俱乐部队,运动员,他人,向他人打手势,54,6,42000,17,5,
长春亚泰足球俱乐部队,运动员,,干扰比赛正常秩序,55 49,6,42000,17,6,
北京人和队,运动员,运动员,肘击（无球状态下）,54 49,8,56000,17,4,
